PK,LOT,DATE CREATED,CLIENT,PROJECT,Date Sent,AVID,NOTES
PL160,160316_Double O,1/30/2017,CINEFLIX NY,American Pickers,03/16/2016,,
PL161,160316_Replacement Theory,1/30/2017,CINEFLIX NY,American Pickers,03/16/2016,,
PL158,160319_AP8_05,1/30/2017,CINEFLIX NY,American Pickers,03/19/2016,,
PL97,160321_AP8_07_TIM,1/10/2017,CINEFLIX NY,American Pickers,03/21/2016,,
PL98,160323_AP8_08,1/10/2017,CINEFLIX NY,American Pickers,03/23/2016,,
PL384,160328_AP8_09 Rock and Tension,4/28/2017,CINEFLIX NY,American Pickers,03/28/2016,,
PL101,160328_AP8_SciFi and Western Replacement,1/10/2017,CINEFLIX NY,American Pickers,03/28/2016,,
PL100,160328_AP8_Western,1/10/2017,CINEFLIX NY,American Pickers,03/28/2016,,
PL102,160401_AP8_10_No Waiting,1/10/2017,CINEFLIX NY,American Pickers,04/01/2016,,
PL103,"160401_AP8_11_Wait, Don't Tell Me",1/10/2017,CINEFLIX NY,American Pickers,04/01/2016,,
PL104,160405_AP8_12,1/10/2017,CINEFLIX NY,American Pickers,04/05/2016,,
PL105,160408_AP8_13,1/10/2017,CINEFLIX NY,American Pickers,04/08/2016,,
PL106,160413_AP8_14,1/10/2017,CINEFLIX NY,American Pickers,04/13/2016,,
PL107,160414_AP8_15,1/10/2017,CINEFLIX NY,American Pickers,04/14/2016,,
PL108,160419_AP8_16,1/10/2017,CINEFLIX NY,American Pickers,04/19/2016,,
PL109,160422_AP8_17,1/11/2017,CINEFLIX NY,American Pickers,04/22/2016,,
PL110,160427_AP8_18,1/11/2017,CINEFLIX NY,American Pickers,04/27/2016,,
PL111,160502_AP8_19,1/11/2017,CINEFLIX NY,American Pickers,05/02/2016,HBIN_1601,
PL112,160503_AP8_20,1/11/2017,CINEFLIX NY,American Pickers,05/03/2016,HBIN_1602,
PL113,160504_AP8_21 More Waiting +,1/11/2017,CINEFLIX NY,American Pickers,05/04/2016,HBIN_1603,
PL114,160510_AP8_22,1/11/2017,CINEFLIX NY,American Pickers,05/10/2016,,
PL115,160516_MCFI_01,1/11/2017,CINEFLIX NY,Murder Calls (etc.),,HBIN_1605,
PL116,160517_AP8_23_MAFIA,1/11/2017,CINEFLIX NY,American Pickers,05/17/2016,HBIN_1606,
PL119,160520_AP8_SPECIAL_Trumpet,1/11/2017,CINEFLIX NY,American Pickers,05/20/2016,,
PL120,160522_AP8_24,1/11/2017,CINEFLIX NY,American Pickers,05/22/2016,HBIN_1607,
PL121,160527_AP8_25,1/11/2017,CINEFLIX NY,American Pickers,05/27/2016,HBIN_1608,
PL122,160601_MURDER CALLS,1/11/2017,CINEFLIX NY,Murder Calls (etc.),,HBIN_1609,
PL961,160606_AP8_26,8/24/2017,CINEFLIX NY,American Pickers,06/06/2016,,
PL125,160607_Murder Calls_03,1/11/2017,CINEFLIX NY,Murder Calls (etc.),,HBIN_1613,
PL126,160608_AP8_27,1/11/2017,CINEFLIX NY,American Pickers,06/08/2016,HBIN_1611,
PL127,160617_AP8_28,1/11/2017,CINEFLIX NY,American Pickers,06/17/2016,HBIN_1614,
