"HAUS_RockItRalph_Am_R76b","Rock It Ralph","Fun and cool positive Rock vibes that will put you in a good mood.","R76b0392"
"HAUS_SeekingTreasure_A_R76b","Seeking Treasure","Confident, carefree and cool vibes all around!","R76b0402"
"HAUS_ShutTheFunkUp_Em_R76b","Shut The Funk Up","If Rock and Funk had a baby, this would be it!","R76b0412"
"HAUS_TruckStopRock_A_R76b","Truck Stop Rock","Put your sunglasses on, let your hair down and strut down that street!","R76b0422"
"HAUS_Again_D_R89a","Again","You can almost taste the grit!","R89a0712"
"HAUS_Clover_Eb_R89a","Clover","Seriously cool and edgy rock vibes with a side of funk. You won't be able to resist!","R89a0722"
"HAUS_Pearls_Am_S33a","Pearls","Positive and confident rockin vibes!","S33a4162"
"HAUS_Ports_A_S33a","Ports","Get ready for some silliness!","S33a4172"
"HAUS_Tables_D_S33a","Tables","A positive and friendly orchestral soundtrack with pizzicato strings.","S33a4182"
"HAUS_Twists_CSharp_S33a","Twists","A fun and zany orchestral soundtrack with a dark and slightly mysterious twist.","S33a4192"
"HAUS_DaybedRestlessness_Dm_R05a","Daybed Restlessness","A dramatic and tense track with big military drums alongside some sci-fi inspired sound design.","R05a0021"
"HAUS_LosGatosFireSquad_Bbm_R05a","Los Gatos Fire Squad","Very dramatic and tense with lots of suspenseful drums and percussion.","R05a0011"
"HAUS_Riff1_Em_R67a","Riff 1","Grinding and bluesy","R67a0011"
"HAUS_Riff02_Em_R67a","Riff 02","Grinding, soulful and bluesy","R67a0021"
"HAUS_Riff03_Am_R67a","Riff 03","BIIIIIG Drums and a rockin beat","R67a0031"
"HAUS_Riff04_E_R67a","Riff 04","Slow, bluesy and sexy","R67a0041"
"HAUS_Riff05_Bm_R67a","Riff 05","Driving rock and roll","R67a0051"
"HAUS_Riff06_Am_R67a","Riff 06","Thrashing and bashing","R67a0061"
"HAUS_Riff07_Gm_R67a","Riff 07","Funky rocking with big drums","R67a0071"
"HAUS_Riff08_Gm_R67a","Riff 08","Very interesting guitar sound in this rocker","R67a0081"
"HAUS_Riff09_Am_R67a","Riff 09","Melt your face off rock riff","R67a0091"
"HAUS_Riff10_A_R67a","Riff 10","Slow grinder","R67a0101"
"HAUS_Riff11_Am_R67a","Riff 11","Thrashing, trashing and bashing!","R67a0111"
"HAUS_Riff12_Gm_R67a","Riff 12","Blistering driving rock and roll","R67a0121"
"HAUS_YouGotToBiteIt_Am_R67a","You Got To Bite It","Grinding Blues jam","R67a0131"
"HAUS_IfItQuacks_Em_R67a","If It Quacks","Deep Dish grinder","R67a0151"
"HAUS_ManfredKid_Em_R67a","Manfred Kid","Good time party jam","R67a0161"
"HAUS_WeDucky_Am_R67a","We Ducky","Thrashing and Bashing","R67a0181"
"HAUS_NoTicket_Am_R67a","No Ticket","Dirty, Grimy and cool","R67a0221"
"HAUS_QED_Em_R67a","QED","Patient rock tune that kicks into a bluesy but laid back jam...but then...","R67a0231"
"HAUS_SlowYourRoll_E_R67a","Slow Your Roll","Wide open smash you in your face rock","R67a0241"
"HAUS_SupermarketSlip_Em_R67a","Supermarket Slip","Stompin' Rock tune","R67a0251"
"HAUS_OffYourDirtyKnees_Gm_R67a","Off Your Dirty Knees","Sloppy, old school rock and roll","R67a0271"
"HAUS_Shaker_E_R67a","Shaker","Trashy, noisy, perfect!","R67a0401"
"HAUS_SteelStringCast_Em_R67a","Steel String Cast","Acoustic Groove jam with stomps and claps","R67a0411"
"HAUS_SupportingCast_Em_R67a","Supporting Cast","Kick ass Riff Rock","R67a0421"
"HAUS_TinaTops_Em_R67a","Tina Tops","Deliberate Riff Rock","R67a0431"
"HAUS_OnTheDole_Am_R67a","On The Dole","In Yo Face Riff Rock","R67a0441"
"HAUS_LikeWhiteOnRice_A_R67a","Like White On Rice","Driving rock and Roll","R67a0311"
